Mechanism,Number of awards,Value of awards,,,,
P2C,2,"$1,833,600",0.000120272,2 (0.0%),0.00025548,"$1,833,600 (0.0%)"
R50,2,"$253,333",0.000120272,2 (0.0%),3.52975E-05,"$253,333 (0.0%)"
U34,2,"$718,747",0.000120272,2 (0.0%),0.000100145,"$718,747 (0.0%)"
D43,1,"$73,250",6.01359E-05,1 (0.0%),1.02061E-05,"$73,250 (0.0%)"
G20,1,"$500,000",6.01359E-05,1 (0.0%),6.96662E-05,"$500,000 (0.0%)"
P42,1,"$2,414,074",6.01359E-05,1 (0.0%),0.000336359,"$2,414,074 (0.0%)"
RL1,1,"$303,654",6.01359E-05,1 (0.0%),4.23088E-05,"$303,654 (0.0%)"
SB1,1,"$300,000",6.01359E-05,1 (0.0%),4.17997E-05,"$300,000 (0.0%)"
UC2,1,"$1,957,980",6.01359E-05,1 (0.0%),0.00027281,"$1,957,980 (0.0%)"
UF1,1,"$2,200,000",6.01359E-05,1 (0.0%),0.000306531,"$2,200,000 (0.0%)"
