group1,group2,meandiff,p-adj,lower,upper,reject
1,19,87522747.7308,0.2345,-14268702.6902,189314198.1517,False
1,20,62681777.1667,0.4686,-18401861.4647,143765415.7981,False
1,21,70648509.2805,0.5656,-25414225.0876,166711243.6487,False
1,22,227000816.1784,0.001,100165976.063,353835656.2939,True
1,23,48956399.7412,0.9,-45268513.0822,143181312.5647,False
1,24,22187408.642,0.9,-82603093.7502,126977911.0343,False
1,25,-25362297.2531,0.9,-118281876.2802,67557281.774,False
1,26,59305928.3529,0.9,-44251064.9782,162862921.684,False
1,27,51848737.3397,0.8878,-33343427.3489,137040902.0282,False
1,28,20148925.221,0.9,-48593141.1313,88890991.5734,False
1,29,62797203.281,0.4574,-18017795.8351,143612202.397,False
2,3,-108580885.484,0.001,-194553401.5253,-22608369.4428,True
2,4,10304977.0143,0.9,-63789124.7884,84399078.8171,False
2,5,-1801336.6592,0.9,-73665320.7163,70062647.3979,False
2,6,1053057.807,0.9,-78346300.4551,80452416.0691,False
2,7,-46418440.3432,0.9,-145901383.1191,53064502.4328,False
2,8,65838410.7584,0.1403,-6405833.3735,138082654.8902,False
2,9,-10289247.1317,0.9,-169439344.2075,148860849.9441,False
2,10,-10889876.2897,0.9,-100693610.5009,78913857.9215,False
2,11,6712244.4659,0.9,-66324900.0208,79749388.9526,False
2,12,-3346194.2597,0.9,-92375863.067,85683474.5476,False
2,13,84590099.4715,0.1225,-6850283.9197,176030482.8626,False
2,14,74349868.1012,0.0102,7610817.1923,141088919.0102,True
2,15,-96233802.7486,0.0073,-180938062.1985,-11529543.2987,True
2,16,-66134844.2838,0.1926,-141249473.6667,8979785.0991,False
2,17,12674629.1309,0.9,-101110827.3912,126460085.6529,False
2,18,-63022682.4162,0.7162,-156230193.1372,30184828.3048,False
2,19,46667140.5231,0.9,-61148939.5188,154483220.5649,False
2,20,21826169.959,0.9,-66702719.0575,110355058.9755,False
2,21,29792902.0728,0.9,-72631980.9931,132217785.1388,False
2,22,186145208.9707,0.001,54426249.0451,317864168.8964,True
2,23,8100792.5335,0.9,-92602444.4223,108804029.4893,False
2,24,-18668198.5657,0.9,-129320162.5266,91983765.3952,False
2,25,-66217904.4608,0.743,-165700847.2368,33265038.3151,False
2,26,18450321.1452,0.9,-91034191.9358,127934834.2262,False
2,27,10993130.132,0.9,-81313492.93,103299753.1939,False
2,28,-20706681.9867,0.9,-98090655.9295,56677291.9561,False
2,29,21941596.0733,0.9,-66341311.7794,110224503.9259,False
3,4,118885862.4983,0.0013,22915160.6647,214856564.332,True
3,5,106779548.8248,0.0076,12519950.4115,201039147.2382,True
3,6,109633943.291,0.0135,9510530.5399,209757356.0421,True
3,7,62162445.1408,0.9,-54530723.4332,178855613.7149,False
3,8,174419296.2424,0.001,79869465.4722,268969127.0126,True
3,9,98291638.3523,0.9,-72146599.9856,268729876.6902,False
3,10,97691009.1943,0.159,-10868423.223,206250441.6116,False
3,11,115293129.9499,0.0021,20136079.9575,210450179.9423,True
3,12,105234691.2243,0.0688,-2685286.6131,213154669.0617,False
3,13,193170984.9555,0.001,83253818.8566,303088151.0544,True
3,14,182930753.5853,0.001,92517587.4825,273343919.688,True
3,15,12347082.7354,0.9,-92033237.5239,116727402.9948,False
3,16,42446041.2002,0.9,-54314732.0285,139206814.4289,False
3,17,121255514.6149,0.104,-7847428.0488,250358457.2786,False
3,18,45558203.0678,0.9,-65833357.3993,156949763.5349,False
3,19,155248026.0071,0.001,31374111.061,279121940.9532,True
3,20,130407055.443,0.0021,22899828.3419,237914282.5442,True
3,21,138373787.5568,0.0049,19162645.6297,257584929.4839,True
