Feature,Document Frequency,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,
1000,0.4,0.039220561,0.042346572,0.045207458,0.043111613,0.045728494,0.04239916,0.044936304,0.042829196,0.04355436,0.045366643,0.043470036
1000,0.5,0.041246055,0.041632697,0.043258999,0.040026919,0.041836159,0.045527676,0.042230564,0.04242266,0.04432712,0.044522211,0.042703106
1000,0.6,0.043682659,0.043538048,0.044648729,0.045119634,0.043801067,0.043211166,0.042251867,0.045217033,0.046650149,0.043896291,0.044201664
1000,0.7,0.042811994,0.043019942,0.042527517,0.043694314,0.044599263,0.043008434,0.044581542,0.042648047,0.043043501,0.042724792,0.043265935
1000,0.8,0.041384177,0.043731226,0.043903274,0.044362027,0.043229127,0.042975872,0.044182615,0.042473143,0.043017741,0.041836301,0.04310955
1000,0.9,0.041132486,0.039827289,0.044937415,0.043071558,0.042014402,0.043370149,0.0438876,0.041913664,0.045398677,0.043820598,0.042937384
1000,1,0.932545799,0.93261383,0.932591153,0.931321549,0.932545799,0.932636506,0.932591153,0.932545799,0.932659183,0.932591153,0.932464192
1500,0.1,0.041566156,0.042392096,0.040672973,0.041541828,0.042636289,0.04157326,0.043027998,0.041559016,0.043218894,-0.035310494,0.034287802
1500,0.2,0.038615925,0.041424398,0.041153412,0.042858445,0.039780803,0.041654959,0.041989997,0.040164401,0.042409651,0.041568059,0.041162005
1500,0.3,0.03897846,0.039557481,0.037534352,0.03878442,0.037266306,0.038664155,0.040463191,0.038335316,0.040403733,0.039532433,0.038951985
1500,0.4,0.036626214,0.039291339,0.038671564,0.036968025,0.038989776,0.032272513,0.03700326,0.037449389,0.037621089,0.034993045,0.036988621
1500,0.5,0.035341781,0.038353071,0.036566353,0.036385014,0.039330433,0.039801214,0.035687243,0.038461701,0.036930758,0.034878104,0.037173567
1500,0.6,0.037836609,0.035043629,0.038354232,0.039690766,0.038272301,0.038034091,0.038851808,0.034860307,0.036863346,0.039173036,0.037698012
1500,0.7,0.037857498,0.036028064,0.037468059,0.039843548,0.039253341,0.038385681,0.038607253,0.036626924,0.035860572,0.039609865,0.037954081
1500,0.8,0.038242308,0.03704152,0.038850341,0.037566449,0.038089707,0.03566243,0.037538232,0.034704215,0.035784714,0.039674886,0.03731548
1500,0.9,0.036421972,0.037413492,0.038146144,0.036574997,0.036791353,0.039689067,0.035777742,0.035727088,0.036564081,0.036132069,0.036923801
1500,1,0.912056225,0.912170727,0.91181363,0.912170727,0.912170727,0.912140298,0.912216081,0.912117623,0.912193404,0.911411118,0.912046056
2000,0.1,0.03452798,0.036803463,0.036029148,0.033497818,0.035013694,0.037750676,0.036094569,0.034416117,0.036564049,0.037371899,0.035806941
2000,0.2,0.034886428,0.035359018,0.035978101,0.03588767,0.033007407,0.036664843,0.035964724,0.038211109,0.037311763,0.036623988,0.035989505
2000,0.3,0.035310609,0.034052668,0.035001973,0.034753564,0.035354626,0.034928752,0.034858606,0.034382747,0.034145415,0.034301768,0.034709073
2000,0.4,0.035627529,0.033295876,0.034151623,0.03352772,0.036140536,0.035564744,0.034573559,0.0389109,0.036315218,0.034742131,0.035284984
2000,0.5,0.036679491,0.036209785,0.034392461,0.033678157,0.033192891,0.032751856,0.034448351,0.036953949,0.034024382,0.036842148,0.034917347
2000,0.6,0.03616161,0.035328863,0.035104239,0.035966502,0.033421575,0.033709944,0.032526741,0.033950528,0.033803703,0.035491757,0.034546546
2000,0.7,0.032597863,0.033670417,0.032984126,0.033102656,0.033710987,0.035089367,0.032557255,0.03470698,0.034374339,0.033625538,0.033641953
2000,0.8,0.033731414,0.034556787,0.03108915,0.034990766,0.035850863,0.031374721,0.031216949,0.032532098,0.034788392,0.031082613,0.033121375
2000,0.9,0.032623104,0.034835107,0.033535464,0.033308953,0.034886186,0.032463868,0.03349995,0.033791986,0.036194856,0.031911706,0.033705118
2000,1,0.897443398,0.897601463,0.896437307,0.897578786,0.897571328,0.897594003,0.897601463,0.897601463,0.897556109,0.897480629,0.897446595
