group1,group2,meandiff,p-adj,lower,upper,reject
3,28,105132497.4238,0.001,24437769.3264,185827225.5211,True
3,29,-8625555.9336,0.9,-86366905.0493,69115793.1821,False
4,5,-16113709.8251,0.9,-101689732.3824,69462312.7322,False
4,6,-31018209.2436,0.9,-140925428.8726,78889010.3853,False
4,7,-10198760.4532,0.9,-79249862.1994,58852341.2931,False
4,8,-4062315.3654,0.9,-122373832.9974,114249202.2666,False
4,9,-49120899.2844,0.9,-132835387.5024,34593588.9336,False
4,10,28546805.5529,0.9,-62276914.1613,119370525.2671,False
4,11,-85159282.7015,0.3848,-191427202.7982,21108637.3952,False
4,12,-27045156.0443,0.9,-107229756.8296,53139444.741,False
4,13,-71587547.0363,0.8967,-189899064.6682,46723970.5957,False
4,14,-112332294.2858,0.0012,-202463373.5205,-22201215.051,True
4,15,-53730298.5123,0.9,-146522395.6655,39061798.6409,False
4,16,37393360.4031,0.9,-74575810.5667,149362531.3728,False
4,17,-32596985.6855,0.9,-148279213.6203,83085242.2494,False
4,18,-19462773.8098,0.9,-122907404.6111,83981856.9914,False
4,19,-123634135.9413,0.001,-218494613.4551,-28773658.4275,True
4,20,-50896854.729,0.9,-183189483.9342,81395774.4761,False
4,21,9378203.1897,0.9,-91076265.5354,109832671.9147,False
4,22,4939504.5616,0.9,-138841371.7439,148720380.8671,False
4,23,-77656892.9011,0.9,-215744182.6218,60430396.8197,False
4,24,-90620051.4657,0.9,-247459548.7487,66219445.8173,False
4,25,-50440115.0764,0.9,-149440362.0321,48560131.8792,False
4,26,-41056885.4512,0.9,-117172546.6842,35058775.7817,False
4,27,-8224305.3162,0.9,-146311595.0369,129862984.4046,False
4,28,-39185883.8535,0.9,-128025180.2408,49653412.5338,False
4,29,-152943937.2108,0.001,-239109468.6153,-66778405.8063,True
5,6,-14904499.4185,0.9,-124811719.0474,95002720.2104,False
5,7,5914949.3719,0.9,-63136152.3743,74966051.1182,False
5,8,12051394.4597,0.9,-106260123.1722,130362912.0917,False
5,9,-33007189.4593,0.9,-116721677.6773,50707298.7587,False
5,10,44660515.378,0.9,-46163204.3362,135484235.0922,False
5,11,-69045572.8764,0.7833,-175313492.9731,37222347.2204,False
5,12,-10931446.2192,0.9,-91116047.0045,69253154.5661,False
5,13,-55473837.2112,0.9,-173785354.8431,62837680.4208,False
5,14,-96218584.4607,0.0202,-186349663.6954,-6087505.2259,True
5,15,-37616588.6872,0.9,-130408685.8404,55175508.466,False
5,16,53507070.2282,0.9,-58462100.7416,165476241.1979,False
5,17,-16483275.8603,0.9,-132165503.7952,99198952.0745,False
5,18,-3349063.9847,0.9,-106793694.7859,100095566.8165,False
5,19,-107520426.1162,0.0076,-202380903.63,-12659948.6024,True
5,20,-34783144.9039,0.9,-167075774.1091,97509484.3012,False
5,21,25491913.0148,0.9,-74962555.7102,125946381.7398,False
5,22,21053214.3867,0.9,-122727661.9188,164834090.6922,False
5,23,-61543183.076,0.9,-199630472.7967,76544106.6448,False
5,24,-74506341.6406,0.9,-231345838.9236,82333155.6424,False
5,25,-34326405.2513,0.9,-133326652.2069,64673841.7043,False
